id,name
397,DC Current 10
398,DC Current 11
399,DC Current 12
405,Active Power
406,Energy AC
417,Active Power AC
423,Module Board Temperature
427,Active Power AC
433,Module Board Temperature
437,Active Power AC
443,Module Board Temperature
447,DC Current 01
448,DC Current 02
449,DC Current 03
450,DC Current 04
451,DC Current 05
452,DC Current 06
453,DC Current 07
454,DC Current 08
455,DC Current 09
456,DC Current 10
457,DC Current 11
462,DC Current 01
463,DC Current 02
464,DC Current 03
465,DC Current 04
466,DC Current 05
467,DC Current 06
468,DC Current 07
469,DC Current 08
470,DC Current 09
471,DC Current 10
472,DC Current 11
473,DC Current 12
479,Active Power
480,Energy AC
491,Active Power AC
497,Module Board Temperature
501,Active Power AC
507,Module Board Temperature
511,Active Power AC
517,Module Board Temperature
521,DC Current 01
522,DC Current 02
523,DC Current 03
524,DC Current 04
525,DC Current 05
526,DC Current 06
527,DC Current 07
528,DC Current 08
529,DC Current 09
530,DC Current 10
531,DC Current 11
536,DC Current 01
537,DC Current 02
538,DC Current 03
539,DC Current 04
540,DC Current 05
541,DC Current 06
542,DC Current 07
543,DC Current 08
544,DC Current 09
545,DC Current 10
546,DC Current 11
547,DC Current 12
55,Temperatura Locale AC
553,Active Power
554,Energy AC
56,Temperatura Locale DC
565,Active Power AC
571,Module Board Temperature
575,Active Power AC
581,Module Board Temperature
585,Active Power AC
591,Module Board Temperature
595,DC Current 01
596,DC Current 02
597,DC Current 03
598,DC Current 04
599,DC Current 05
600,DC Current 06
601,DC Current 07
602,DC Current 08
603,DC Current 09
604,DC Current 10
605,DC Current 11
610,DC Current 01
611,DC Current 02
612,DC Current 03
613,DC Current 04
614,DC Current 05
615,DC Current 06
616,DC Current 07
617,DC Current 08
618,DC Current 09
619,DC Current 10
620,DC Current 11
621,DC Current 12
627,Active Power
628,Energy AC
639,Active Power AC
645,Module Board Temperature
649,Active Power AC
655,Module Board Temperature
659,Active Power AC
665,Module Board Temperature
669,DC Current 01
670,DC Current 02
671,DC Current 03
672,DC Current 04
673,DC Current 05
674,DC Current 06
675,DC Current 07
676,DC Current 08
677,DC Current 09
678,DC Current 10
679,DC Current 11
684,DC Current 01
