timestamp,156,172,D.156.DELTA,D.171.ISIRR
2023-08-06 08:00:00,55954964.0,33.099,1660.0,551.513
2023-08-06 09:00:00,55957624.0,35.353,2660.0,847.394
2023-08-06 10:00:00,55959548.0,36.006,1924.0,605.379
2023-08-06 11:00:00,55961080.0,36.133,1532.0,478.782
2023-08-06 12:00:00,55961708.0,32.049,628.0,195.172
2023-08-06 13:00:00,55961708.0,24.39,0.0,8.607
2023-08-06 14:00:00,55961844.0,24.383,136.0,55.186
2023-08-06 15:00:00,55962448.0,26.494,604.0,200.924
2023-08-06 16:00:00,55962528.0,26.167,80.0,35.687
2023-08-06 17:00:00,55962528.0,25.444,0.0,6.338
2023-08-06 18:00:00,55962528.0,24.008,0.0,2.457
2023-08-06 19:00:00,55962528.0,22.854,0.0,2.44
2023-08-06 20:00:00,55962528.0,22.465,0.0,2.423
2023-08-06 21:00:00,55962528.0,22.455,0.0,2.426
2023-08-06 22:00:00,55962528.0,22.04,0.0,2.428
2023-08-06 23:00:00,55962528.0,21.755,0.0,2.422
2023-08-07 00:00:00,55962528.0,21.061,0.0,2.424
2023-08-07 01:00:00,55962528.0,20.765,0.0,2.434
2023-08-07 02:00:00,55962528.0,20.352,0.0,2.537
2023-08-07 03:00:00,55962556.0,20.249,28.0,22.807
2023-08-07 04:00:00,55962772.0,21.84,216.0,98.68
2023-08-07 05:00:00,55963616.0,25.235,844.0,296.707
2023-08-07 06:00:00,55965400.0,24.901,1784.0,522.598
2023-08-07 07:00:00,55967672.0,26.628,2272.0,704.135
2023-08-07 08:00:00,55970560.0,28.293,2888.0,886.157
2023-08-07 09:00:00,55973408.0,29.686,2848.0,929.83
2023-08-07 10:00:00,55975908.0,31.277,2500.0,834.873
2023-08-07 11:00:00,55978228.0,31.405,2320.0,789.626
2023-08-07 12:00:00,55980884.0,32.76,2656.0,866.035
2023-08-07 13:00:00,55983172.0,33.056,2288.0,681.725
2023-08-07 14:00:00,55984336.0,32.278,1164.0,367.688
2023-08-07 15:00:00,55985292.0,32.31,956.0,305.445
2023-08-07 16:00:00,55985456.0,33.351,164.0,81.192
2023-08-07 17:00:00,55985456.0,26.49,0.0,6.757
2023-08-07 18:00:00,55985456.0,24.899,0.0,2.447
2023-08-07 19:00:00,55985456.0,24.113,0.0,2.44
2023-08-07 20:00:00,55985456.0,23.534,0.0,2.43
2023-08-07 21:00:00,55985456.0,23.955,0.0,2.426
2023-08-07 22:00:00,55985456.0,23.468,0.0,2.441
2023-08-07 23:00:00,55985456.0,22.811,0.0,2.434
2023-08-08 00:00:00,55985456.0,22.563,0.0,2.423
2023-08-08 01:00:00,55985456.0,21.829,0.0,2.434
2023-08-08 02:00:00,55985456.0,20.399,0.0,2.425
2023-08-08 03:00:00,55985456.0,20.208,0.0,8.71
2023-08-08 04:00:00,55985488.0,20.535,32.0,19.622
2023-08-08 05:00:00,55985568.0,20.308,80.0,32.338
2023-08-08 06:00:00,55985720.0,19.756,152.0,48.221
2023-08-08 07:00:00,55985928.0,19.644,208.0,61.769
2023-08-08 08:00:00,55986272.0,19.915,344.0,93.364
2023-08-08 09:00:00,55986544.0,19.475,272.0,76.677
2023-08-08 10:00:00,55986904.0,18.736,360.0,99.226
2023-08-08 11:00:00,55987912.0,20.827,1008.0,292.451
2023-08-08 12:00:00,55990112.0,22.815,2200.0,664.302
2023-08-08 13:00:00,55992528.0,24.025,2416.0,720.592
2023-08-08 14:00:00,55994320.0,24.59,1792.0,515.487
2023-08-08 15:00:00,55995216.0,25.524,896.0,285.971
2023-08-08 16:00:00,55995380.0,29.054,164.0,83.768
2023-08-08 17:00:00,55995384.0,22.655,4.0,7.311
2023-08-08 18:00:00,55995384.0,18.605,0.0,2.382
2023-08-08 19:00:00,55995384.0,17.663,0.0,2.381
2023-08-08 20:00:00,55995384.0,17.09,0.0,2.382
2023-08-08 21:00:00,55995384.0,17.956,0.0,2.384
2023-08-08 22:00:00,55995384.0,17.594,0.0,2.389
2023-08-08 23:00:00,55995384.0,16.914,0.0,2.382
2023-08-09 00:00:00,55995384.0,16.38,0.0,2.382
2023-08-09 01:00:00,55995384.0,16.09,0.0,2.374
2023-08-09 02:00:00,55995384.0,15.335,0.0,2.407
2023-08-09 03:00:00,55995408.0,16.561,24.0,20.877
2023-08-09 04:00:00,55995628.0,18.703,220.0,96.601
2023-08-09 05:00:00,55996488.0,22.799,860.0,293.945
2023-08-09 06:00:00,55998288.0,22.947,1800.0,521.874
2023-08-09 07:00:00,56000780.0,25.203,2492.0,728.604
2023-08-09 08:00:00,56003648.0,26.646,2868.0,890.897
2023-08-09 09:00:00,56006644.0,27.588,2996.0,971.949
2023-08-09 10:00:00,56009304.0,28.141,2660.0,921.342
2023-08-09 11:00:00,56011816.0,28.608,2512.0,950.144
2023-08-09 12:00:00,56014496.0,28.969,2680.0,857.489
2023-08-09 13:00:00,56016908.0,29.298,2412.0,729.359
2023-08-09 14:00:00,56018616.0,29.486,1708.0,514.178
2023-08-09 15:00:00,56019456.0,29.363,840.0,285.378
2023-08-09 16:00:00,56019612.0,31.606,156.0,83.762
2023-08-09 17:00:00,56019616.0,24.963,4.0,7.134
2023-08-09 18:00:00,56019616.0,22.449,0.0,2.431
2023-08-09 19:00:00,56019616.0,21.306,0.0,2.426
2023-08-09 20:00:00,56019616.0,19.089,0.0,2.386
2023-08-09 21:00:00,56019616.0,18.911,0.0,2.39
2023-08-09 22:00:00,56019616.0,17.924,0.0,2.396
2023-08-09 23:00:00,56019616.0,17.681,0.0,2.393
2023-08-10 00:00:00,56019616.0,17.977,0.0,2.392
2023-08-10 01:00:00,56019616.0,17.742,0.0,2.404
2023-08-10 02:00:00,56019616.0,18.188,0.0,2.476
2023-08-10 03:00:00,56019668.0,18.714,52.0,25.297
2023-08-10 04:00:00,56020064.0,20.661,396.0,132.706
2023-08-10 05:00:00,56020968.0,23.577,904.0,292.778
2023-08-10 06:00:00,56022244.0,25.167,1276.0,359.611
2023-08-10 07:00:00,56024368.0,26.647,2124.0,644.385
2023-08-10 08:00:00,56027152.0,28.274,2784.0,836.125
2023-08-10 09:00:00,56030264.0,29.027,3112.0,987.629
2023-08-10 10:00:00,56033240.0,29.626,2976.0,984.655
2023-08-10 11:00:00,56035188.0,29.524,1948.0,663.255
2023-08-10 12:00:00,56038104.0,30.742,2916.0,925.902
2023-08-10 13:00:00,56040560.0,30.283,2456.0,735.529
2023-08-10 14:00:00,56042284.0,30.162,1724.0,515.121
2023-08-10 15:00:00,56043120.0,30.375,836.0,283.107
2023-08-10 16:00:00,56043272.0,30.912,152.0,74.848
2023-08-10 17:00:00,56043272.0,24.615,0.0,5.138
2023-08-10 18:00:00,56043272.0,21.639,0.0,2.409
2023-08-10 19:00:00,56043272.0,21.289,0.0,2.412
2023-08-10 20:00:00,56043272.0,21.976,0.0,2.44
2023-08-10 21:00:00,56043272.0,21.611,0.0,2.435
2023-08-10 22:00:00,56043272.0,21.071,0.0,2.435
2023-08-10 23:00:00,56043272.0,21.021,0.0,2.418
2023-08-11 00:00:00,56043272.0,20.87,0.0,2.396
2023-08-11 01:00:00,56043272.0,20.45,0.0,2.398
2023-08-11 02:00:00,56043272.0,20.124,0.0,2.403
2023-08-11 03:00:00,56043312.0,20.307,40.0,20.697
2023-08-11 04:00:00,56043640.0,21.199,328.0,98.624
2023-08-11 05:00:00,56044304.0,22.462,664.0,206.527
2023-08-11 06:00:00,56045768.0,24.342,1464.0,402.336
2023-08-11 07:00:00,56046916.0,23.971,1148.0,332.144
2023-08-11 08:00:00,56048956.0,26.001,2040.0,598.816
2023-08-11 09:00:00,56052096.0,28.3,3140.0,953.112
2023-08-11 10:00:00,56055408.0,29.152,3312.0,1011.038
2023-08-11 11:00:00,56057900.0,30.087,2492.0,859.109
2023-08-11 12:00:00,56060476.0,31.205,2576.0,764.54
2023-08-11 13:00:00,56062944.0,30.887,2468.0,707.825
2023-08-11 14:00:00,56064652.0,30.952,1708.0,497.063
2023-08-11 15:00:00,56065464.0,31.053,812.0,270.466
2023-08-11 16:00:00,56065604.0,31.062,140.0,68.48
2023-08-11 17:00:00,56065604.0,26.45,0.0,5.92
2023-08-11 18:00:00,56065604.0,25.529,0.0,2.465
2023-08-11 19:00:00,56065604.0,23.92,0.0,2.452
2023-08-11 20:00:00,56065604.0,24.067,0.0,2.465
2023-08-11 21:00:00,56065604.0,23.372,0.0,2.474
2023-08-11 22:00:00,56065604.0,22.253,0.0,2.459
2023-08-11 23:00:00,56065604.0,21.422,0.0,2.452
2023-08-12 00:00:00,56065604.0,20.7,0.0,2.436
2023-08-12 01:00:00,56065604.0,19.751,0.0,2.436
2023-08-12 02:00:00,56065604.0,19.668,0.0,2.421
2023-08-12 03:00:00,56065640.0,19.999,36.0,22.656
2023-08-12 04:00:00,56065876.0,21.464,236.0,81.149
2023-08-12 05:00:00,56066436.0,22.593,560.0,198.227
2023-08-12 06:00:00,56068168.0,25.02,1732.0,511.359
2023-08-12 07:00:00,56070652.0,26.531,2484.0,712.88
2023-08-12 08:00:00,56073632.0,27.888,2980.0,875.107
2023-08-12 09:00:00,56076864.0,28.801,3232.0,969.92
2023-08-12 10:00:00,56080184.0,29.545,3320.0,1006.886
2023-08-12 11:00:00,56083140.0,30.315,2956.0,976.128
2023-08-12 12:00:00,56086052.0,31.003,2912.0,867.576
2023-08-12 13:00:00,56088448.0,31.269,2396.0,697.839
2023-08-12 14:00:00,56090128.0,31.332,1680.0,490.373
2023-08-12 15:00:00,56090928.0,31.165,800.0,264.441
2023-08-12 16:00:00,56091080.0,31.504,152.0,71.29
2023-08-12 17:00:00,56091080.0,25.345,0.0,5.415
2023-08-12 18:00:00,56091080.0,23.069,0.0,2.404
2023-08-12 19:00:00,56091080.0,23.432,0.0,2.425
2023-08-12 20:00:00,56091080.0,22.505,0.0,2.425
2023-08-12 21:00:00,56091080.0,21.497,0.0,2.395
2023-08-12 22:00:00,56091080.0,19.223,0.0,2.379
2023-08-12 23:00:00,56091080.0,17.563,0.0,2.366
2023-08-13 00:00:00,56091080.0,17.798,0.0,2.381
2023-08-13 01:00:00,56091080.0,17.634,0.0,2.383
2023-08-13 02:00:00,56091080.0,17.315,0.0,2.382
2023-08-13 03:00:00,56091108.0,18.028,28.0,18.842
2023-08-13 04:00:00,56091332.0,20.102,224.0,94.602
2023-08-13 05:00:00,56092168.0,24.265,836.0,285.492
2023-08-13 06:00:00,56093912.0,25.483,1744.0,508.138
2023-08-13 07:00:00,56096384.0,27.624,2472.0,718.4
2023-08-13 08:00:00,56099300.0,29.477,2916.0,878.628
2023-08-13 09:00:00,56102480.0,30.465,3180.0,976.594
2023-08-13 10:00:00,56105472.0,31.199,2992.0,1019.034
2023-08-13 11:00:00,56108628.0,31.612,3156.0,988.89
2023-08-13 12:00:00,56111484.0,32.007,2856.0,880.541
2023-08-13 13:00:00,56113848.0,32.293,2364.0,711.106
2023-08-13 14:00:00,56115476.0,32.6,1628.0,498.163
2023-08-13 15:00:00,56116244.0,32.209,768.0,270.844
2023-08-13 16:00:00,56116372.0,34.135,128.0,74.084
2023-08-13 17:00:00,56116376.0,26.128,4.0,5.379
2023-08-13 18:00:00,56116376.0,23.345,0.0,2.407
2023-08-13 19:00:00,56116376.0,20.57,0.0,2.394
2023-08-13 20:00:00,56116376.0,19.908,0.0,2.385
2023-08-13 21:00:00,56116376.0,19.347,0.0,2.392
2023-08-13 22:00:00,56116376.0,18.812,0.0,2.39
2023-08-13 23:00:00,56116376.0,18.577,0.0,2.388
2023-08-14 00:00:00,56116376.0,18.732,0.0,2.371
2023-08-14 01:00:00,56116376.0,18.911,0.0,2.379
2023-08-14 02:00:00,56116376.0,18.844,0.0,2.38
2023-08-14 03:00:00,56116400.0,18.862,24.0,18.64
2023-08-14 04:00:00,56116616.0,20.4,216.0,92.96
2023-08-14 05:00:00,56117424.0,24.062,808.0,281.78
2023-08-14 06:00:00,56119140.0,26.016,1716.0,503.265
2023-08-14 07:00:00,56121564.0,28.848,2424.0,704.476
2023-08-14 08:00:00,56124420.0,30.633,2856.0,856.29
2023-08-14 09:00:00,56127516.0,32.066,3096.0,946.143
2023-08-14 10:00:00,56130732.0,32.924,3216.0,984.879
2023-08-14 11:00:00,56133544.0,33.374,2812.0,945.541
2023-08-14 12:00:00,56136364.0,33.745,2820.0,841.194
2023-08-14 13:00:00,56138676.0,33.878,2312.0,676.571
2023-08-14 14:00:00,56140196.0,33.653,1520.0,465.468
2023-08-14 15:00:00,56140916.0,33.246,720.0,244.432
2023-08-14 16:00:00,56141056.0,33.103,140.0,69.115
2023-08-14 17:00:00,56141056.0,28.397,0.0,5.73
2023-08-14 18:00:00,56141056.0,26.739,0.0,2.467
2023-08-14 19:00:00,56141056.0,24.725,0.0,2.455
2023-08-14 20:00:00,56141056.0,23.779,0.0,2.442
2023-08-14 21:00:00,56141056.0,23.346,0.0,2.458
2023-08-14 22:00:00,56141056.0,23.416,0.0,2.465
2023-08-14 23:00:00,56141056.0,23.192,0.0,2.451
2023-08-15 00:00:00,56141056.0,21.718,0.0,2.435
2023-08-15 01:00:00,56141056.0,21.226,0.0,2.429
2023-08-15 02:00:00,56141056.0,21.851,0.0,2.452
2023-08-15 03:00:00,56141056.0,22.04,0.0,4.726
2023-08-15 04:00:00,56141200.0,22.453,144.0,50.532
2023-08-15 05:00:00,56141408.0,22.907,208.0,70.667
2023-08-15 06:00:00,56141764.0,23.756,356.0,110.661
2023-08-15 07:00:00,56142452.0,24.854,688.0,199.457
2023-08-15 08:00:00,56144372.0,28.81,1920.0,586.877
2023-08-15 09:00:00,56147480.0,31.168,3108.0,912.549
2023-08-15 10:00:00,56149956.0,32.804,2476.0,748.33
2023-08-15 11:00:00,56152112.0,33.19,2156.0,666.455
2023-08-15 12:00:00,56153824.0,33.097,1712.0,533.507
2023-08-15 13:00:00,56155816.0,33.156,1992.0,587.414
2023-08-15 14:00:00,56157148.0,32.496,1332.0,399.034
2023-08-15 15:00:00,56157752.0,31.633,604.0,200.039
2023-08-15 16:00:00,56157904.0,30.483,152.0,63.688
2023-08-15 17:00:00,56157904.0,27.501,0.0,5.637
2023-08-15 18:00:00,56157904.0,26.208,0.0,2.476
2023-08-15 19:00:00,56157904.0,25.144,0.0,2.453
2023-08-15 20:00:00,56157904.0,24.265,0.0,2.442
2023-08-15 21:00:00,56157904.0,23.931,0.0,2.411
2023-08-15 22:00:00,56157904.0,23.236,0.0,2.398
2023-08-15 23:00:00,56157904.0,23.546,0.0,2.421
2023-08-16 00:00:00,56157904.0,22.852,0.0,2.42
2023-08-16 01:00:00,56157904.0,23.554,0.0,2.43
2023-08-16 02:00:00,56157904.0,24.319,0.0,2.459
2023-08-16 03:00:00,56157928.0,23.993,24.0,16.482
2023-08-16 04:00:00,56158128.0,24.415,200.0,67.889
2023-08-16 05:00:00,56158604.0,25.943,476.0,174.689
2023-08-16 06:00:00,56159680.0,27.054,1076.0,316.419
2023-08-16 07:00:00,56160864.0,28.095,1184.0,362.857
2023-08-16 08:00:00,56162308.0,29.466,1444.0,425.568
2023-08-16 09:00:00,56164284.0,30.705,1976.0,590.56
2023-08-16 10:00:00,56166892.0,33.673,2608.0,763.569
2023-08-16 11:00:00,56169672.0,35.272,2780.0,918.483
2023-08-16 12:00:00,56172284.0,35.528,2612.0,787.529
2023-08-16 13:00:00,56173092.0,34.291,808.0,238.739
2023-08-16 14:00:00,56174228.0,33.727,1136.0,353.111
2023-08-16 15:00:00,56174940.0,33.893,712.0,243.533
2023-08-16 16:00:00,56175056.0,33.195,116.0,61.184
2023-08-16 17:00:00,56175056.0,27.427,0.0,3.903
2023-08-16 18:00:00,56175056.0,24.206,0.0,2.464
